Game Number,Player 1 Name,Player 2 Name,Player 1 Moves,Player 2 Moves,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
18,MiniMax w/ CustomHeuristic,RandomPlayer,24,24,Depth: 8,Zufall,1007,0,RandomPlayer,2024-10-15 18:31:43
19,RandomPlayer,MiniMax w/ CustomHeuristic,25,25,Zufall,Depth: 9,0,450,MiniMax w/ CustomHeuristic,2024-10-15 18:31:54
20,MiniMax w/ CustomHeuristic,RandomPlayer,17,16,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:54
21,RandomPlayer,MiniMax w/ CustomHeuristic,25,24,Zufall,Depth: 1,0,0,Draw,2024-10-15 18:31:54
22,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:54
23,RandomPlayer,MiniMax w/ CustomHeuristic,28,27,Zufall,Depth: 3,0,0,Draw,2024-10-15 18:31:54
24,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:54
25,RandomPlayer,MiniMax w/ CustomHeuristic,27,26,Zufall,Depth: 5,0,1,Draw,2024-10-15 18:31:54
26,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 6,Zufall,13,0,MiniMax w/ CustomHeuristic,2024-10-15 18:31:55
27,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 7,0,55,MiniMax w/ CustomHeuristic,2024-10-15 18:31:56
28,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 8,Zufall,3263,0,MiniMax w/ CustomHeuristic,2024-10-15 18:33:17
29,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 9,0,1253,RandomPlayer,2024-10-15 18:33:49
30,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:33:49
31,RandomPlayer,MiniMax w/ CustomHeuristic,14,14,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:33:49
32,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:33:49
33,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:33:49
34,MiniMax w/ CustomHeuristic,RandomPlayer,15,14,Depth: 4,Zufall,3,0,MiniMax w/ CustomHeuristic,2024-10-15 18:33:49
35,RandomPlayer,MiniMax w/ CustomHeuristic,25,25,Zufall,Depth: 5,0,3,MiniMax w/ CustomHeuristic,2024-10-15 18:33:49
36,MiniMax w/ CustomHeuristic,RandomPlayer,27,27,Depth: 6,Zufall,33,0,RandomPlayer,2024-10-15 18:33:50
37,RandomPlayer,MiniMax w/ CustomHeuristic,24,24,Zufall,Depth: 7,0,91,MiniMax w/ CustomHeuristic,2024-10-15 18:33:52
38,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 8,Zufall,1107,0,MiniMax w/ CustomHeuristic,2024-10-15 18:34:14
39,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 9,0,424,MiniMax w/ CustomHeuristic,2024-10-15 18:34:22
40,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:34:22
41,RandomPlayer,MiniMax w/ CustomHeuristic,20,19,Zufall,Depth: 1,0,0,RandomPlayer,2024-10-15 18:34:22
42,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:34:22
43,RandomPlayer,MiniMax w/ CustomHeuristic,27,26,Zufall,Depth: 3,0,0,Draw,2024-10-15 18:34:22
44,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:34:22
45,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 5,0,13,MiniMax w/ CustomHeuristic,2024-10-15 18:34:23
46,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 6,Zufall,31,0,MiniMax w/ CustomHeuristic,2024-10-15 18:34:23
47,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 7,0,42,MiniMax w/ CustomHeuristic,2024-10-15 18:34:24
48,MiniMax w/ CustomHeuristic,RandomPlayer,27,27,Depth: 8,Zufall,2884,0,RandomPlayer,2024-10-15 18:35:42
49,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 9,0,1781,MiniMax w/ CustomHeuristic,2024-10-15 18:36:29
50,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:29
51,RandomPlayer,MiniMax w/ CustomHeuristic,20,19,Zufall,Depth: 1,0,0,RandomPlayer,2024-10-15 18:36:29
52,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:29
53,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:29
54,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:29
55,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 5,0,2,MiniMax w/ CustomHeuristic,2024-10-15 18:36:29
56,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 6,Zufall,21,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:29
57,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 7,0,44,MiniMax w/ CustomHeuristic,2024-10-15 18:36:30
58,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 8,Zufall,98,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:33
59,RandomPlayer,MiniMax w/ CustomHeuristic,24,24,Zufall,Depth: 9,0,961,MiniMax w/ CustomHeuristic,2024-10-15 18:36:56
60,MiniMax w/ CustomHeuristic,RandomPlayer,16,15,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:56
61,RandomPlayer,MiniMax w/ CustomHeuristic,16,15,Zufall,Depth: 1,0,0,RandomPlayer,2024-10-15 18:36:56
62,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:56
63,RandomPlayer,MiniMax w/ CustomHeuristic,14,14,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:56
64,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:56
65,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 5,0,6,Draw,2024-10-15 18:36:56
66,MiniMax w/ CustomHeuristic,RandomPlayer,26,25,Depth: 6,Zufall,16,0,MiniMax w/ CustomHeuristic,2024-10-15 18:36:56
67,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 7,0,20,MiniMax w/ CustomHeuristic,2024-10-15 18:36:57
68,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 8,Zufall,322,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:04
69,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 9,0,504,MiniMax w/ CustomHeuristic,2024-10-15 18:37:15
70,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:15
71,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:15
72,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:15
73,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 3,0,0,RandomPlayer,2024-10-15 18:37:15
74,MiniMax w/ CustomHeuristic,RandomPlayer,25,25,Depth: 4,Zufall,1,0,RandomPlayer,2024-10-15 18:37:15
75,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 5,0,2,MiniMax w/ CustomHeuristic,2024-10-15 18:37:15
76,MiniMax w/ CustomHeuristic,RandomPlayer,29,28,Depth: 6,Zufall,42,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:16
77,RandomPlayer,MiniMax w/ CustomHeuristic,20,19,Zufall,Depth: 7,0,229,RandomPlayer,2024-10-15 18:37:21
78,MiniMax w/ CustomHeuristic,RandomPlayer,17,16,Depth: 8,Zufall,401,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:27
79,RandomPlayer,MiniMax w/ CustomHeuristic,27,26,Zufall,Depth: 9,0,246,RandomPlayer,2024-10-15 18:37:34
80,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:34
81,RandomPlayer,MiniMax w/ CustomHeuristic,17,17,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:34
82,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:34
83,RandomPlayer,MiniMax w/ CustomHeuristic,15,15,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:34
84,MiniMax w/ CustomHeuristic,RandomPlayer,15,14,Depth: 4,Zufall,2,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:34
85,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 5,0,18,MiniMax w/ CustomHeuristic,2024-10-15 18:37:34
86,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 6,Zufall,31,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:35
87,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 7,0,23,MiniMax w/ CustomHeuristic,2024-10-15 18:37:35
88,MiniMax w/ CustomHeuristic,RandomPlayer,30,29,Depth: 8,Zufall,193,0,MiniMax w/ CustomHeuristic,2024-10-15 18:37:41
89,RandomPlayer,MiniMax w/ CustomHeuristic,24,24,Zufall,Depth: 9,0,1576,MiniMax w/ CustomHeuristic,2024-10-15 18:38:19
90,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:38:19
91,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:38:19
92,MiniMax w/ CustomHeuristic,RandomPlayer,28,28,Depth: 2,Zufall,0,0,Draw,2024-10-15 18:38:19
93,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:38:19
94,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:38:19
95,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 5,0,32,MiniMax w/ CustomHeuristic,2024-10-15 18:38:20
96,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 6,Zufall,54,0,MiniMax w/ CustomHeuristic,2024-10-15 18:38:21
97,RandomPlayer,MiniMax w/ CustomHeuristic,28,27,Zufall,Depth: 7,0,124,RandomPlayer,2024-10-15 18:38:25
98,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 8,Zufall,1587,0,MiniMax w/ CustomHeuristic,2024-10-15 18:39:01
99,RandomPlayer,MiniMax w/ CustomHeuristic,27,27,Zufall,Depth: 9,0,4160,MiniMax w/ CustomHeuristic,2024-10-15 18:40:53
100,MiniMax w/ CustomHeuristic,RandomPlayer,22,22,Depth: 0,Zufall,0,0,RandomPlayer,2024-10-15 18:40:53
101,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:40:53
102,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:40:53
103,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:40:53
104,MiniMax w/ CustomHeuristic,RandomPlayer,28,27,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:40:53
105,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 5,0,3,MiniMax w/ CustomHeuristic,2024-10-15 18:40:54
106,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 6,Zufall,22,0,MiniMax w/ CustomHeuristic,2024-10-15 18:40:54
107,RandomPlayer,MiniMax w/ CustomHeuristic,28,28,Zufall,Depth: 7,0,28,MiniMax w/ CustomHeuristic,2024-10-15 18:40:55
108,MiniMax w/ CustomHeuristic,RandomPlayer,21,20,Depth: 8,Zufall,268,0,MiniMax w/ CustomHeuristic,2024-10-15 18:41:00
109,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 9,0,2259,MiniMax w/ CustomHeuristic,2024-10-15 18:41:48
110,MiniMax w/ CustomHeuristic,RandomPlayer,26,25,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:41:48
111,RandomPlayer,MiniMax w/ CustomHeuristic,17,17,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:41:48
112,MiniMax w/ CustomHeuristic,RandomPlayer,16,15,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:41:48
113,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:41:48
114,MiniMax w/ CustomHeuristic,RandomPlayer,20,20,Depth: 4,Zufall,1,0,RandomPlayer,2024-10-15 18:41:48
115,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 5,0,1,RandomPlayer,2024-10-15 18:41:48
116,MiniMax w/ CustomHeuristic,RandomPlayer,22,22,Depth: 6,Zufall,41,0,RandomPlayer,2024-10-15 18:41:49
117,RandomPlayer,MiniMax w/ CustomHeuristic,20,19,Zufall,Depth: 7,0,292,RandomPlayer,2024-10-15 18:41:54
118,MiniMax w/ CustomHeuristic,RandomPlayer,21,20,Depth: 8,Zufall,717,0,MiniMax w/ CustomHeuristic,2024-10-15 18:42:10
119,RandomPlayer,MiniMax w/ CustomHeuristic,30,30,Zufall,Depth: 9,0,847,MiniMax w/ CustomHeuristic,2024-10-15 18:42:35
120,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:42:35
121,RandomPlayer,MiniMax w/ CustomHeuristic,17,17,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:42:35
122,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:42:35
123,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:42:35
124,MiniMax w/ CustomHeuristic,RandomPlayer,29,29,Depth: 4,Zufall,1,0,Draw,2024-10-15 18:42:35
125,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 5,0,3,MiniMax w/ CustomHeuristic,2024-10-15 18:42:35
126,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 6,Zufall,14,0,MiniMax w/ CustomHeuristic,2024-10-15 18:42:35
127,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 7,0,202,MiniMax w/ CustomHeuristic,2024-10-15 18:42:40
128,MiniMax w/ CustomHeuristic,RandomPlayer,26,25,Depth: 8,Zufall,1468,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:18
