Game Number,Player 1 Name,Player 2 Name,Player 1 Moves, Player 2 Moves, PlPlayer 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
80,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),14,14,Depth: 7,Ms/Move: 300,746,304,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:05:18
81,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,300,288,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:05:25
82,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),12,12,Depth: 7,Ms/Move: 300,1397,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:05:45
83,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,300,3525,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:06:16
84,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),12,12,Depth: 7,Ms/Move: 300,274,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:06:23
85,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,300,2616,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:06:46
86,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,503,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:06:54
87,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,17,16,Ms/Move: 300,Depth: 7,301,63,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:00
88,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,123,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:04
89,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,300,35,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:08
90,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,237,301,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:14
91,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,13,12,Ms/Move: 300,Depth: 7,300,275,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:21
92,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),13,13,Depth: 7,Ms/Move: 300,76,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:26
93,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,301,491,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:33
94,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,797,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:43
95,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,301,1615,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:07:59
96,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,913,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:08:10
97,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,300,2372,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:08:37
98,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),12,12,Depth: 7,Ms/Move: 300,548,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:08:47
99,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,300,305,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:08:53
